species,,,,,QPHY1328,QPHY1329,QPHY1330,QPHY1332,QPHY1331,QPHY1333,QPHY1350,QPHY1351,QPHY1323,QPHY1352,QPHY1353,QPHY1354,QPHY1355,QPHY1444,QPHY1356,QPHY1357,QPHY1358,QPHY1359,QPHY1360,QPHY1361,QPHY1362,QPHY1363,QPHY1364,QPHY1365,QPHY1366,QPHY1367,QPHY1368,QPHY1369
Pyramimonas grossii,,,,,,,,19444,3182,15556,3889,7000,,35000,40831,,17500,,,,,8750,6364,,7778,2917,,3889,14000,,,
Pyramimonas orientalis,,,,,,,1750,66113,15910,42779,19445,17500,,17500,11666,43750,,21000,,,,105000,3182,3500,31112,8751,5000,15556,14000,,2692,
Pyramimonas spp.,,,,,,6564,3500,3889,,,3889,,,13125,,,,7000,,,,,3182,,,,,,,,2692,
Tetraselmis gracilis,,,,,,,,,,,,,,,,,,,,2188,,,,,,,,,,,,
Unknown species,,,,,40250,61264,33250,202228,111370,136115,198339,182000,175000,118125,192489,603750,215821,140000,171500,91896,29750,315000,120916,87500,73891,46672,155000,112781,231000,87500,56538,196000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,,,66500,,,,,,,,,,,,,,,,,,,
Monosiga marina,,,,,,,,,,,3889,,,,,,,,,2188,,,6364,,,,,,,,,
Parvicorbicula socialis,,,,,,,1750,,,,7778,,,,,,,7000,,,,,,,,,,,,,,
Unknown species,,,,,7000,8752,3500,7778,22274,27223,54446,31500,21000,70000,5833,,11666,7000,7000,4376,,,60458,24500,,,15000,31112,56000,17500,,7000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apidinella spinifera,,,,,1750,,,,6364,,,,87500,13125,,,,,,,,,,,,11668,,,,,,
Dinobryon spp.,,,,,,,,,,,3889,,3500,8750,,,5833,7000,,,,,80,3500,,,10000,3889,,,,
Ochromonas spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,3889,,,,
Unknown species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elongate form,,,,,,160,,120,80,,120,178,144,,,,,320,,124,124,222,40,,,,,,267,,,432
Myronecta rubra,,,,,440,1080,240,1800,3200,2120,2320,623,432,,560,1280,861,360,2160,1426,4278,74,640,,1480,200,,2047,445,144,1640,1536
Oligotricious forms (medium),,,,,880,920,920,2760,2000,1600,2400,1869,6480,1000,720,1320,1968,1360,3280,3286,6448,5772,3400,933,4680,400,4752,4806,445,1008,3000,5562
Oligotricious forms (large),,,,,,120,40,200,160,,,,432,200,,,,40,80,62,558,74,,,40,,,267,,,80,96
Oligotricious forms (small),,,,,920,1960,1200,5670,5886,6210,5328,1958,144,1400,2320,1680,3567,2160,5724,3720,2418,5846,6966,6842,2920,680,15000,1068,1424,576,2640,20600
Tintinnid forms,,,,,40,,,80,,,40,,,200,160,40,41,,,1116,62,,,,,,,178,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillea sp.,,,,,96250,131280,138250,388900,171828,346121,136115,206500,,91875,495805,498750,344147,525000,311500,111588,10500,866250,235468,59500,283897,195439,160000,143893,245000,31500,242280,609000
Teleaulax acuta,,,,,,,1750,,12728,,,,,,,,,7000,,,,,,,,,,,,,,
Teleaulax amphioxiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleaulax spp.,,,,,50750,41572,29750,268341,216376,178894,112781,94500,3500,236250,466640,708750,478306,427000,122500,59076,14000,420000,299108,28000,268341,166269,25000,151671,392000,21000,121140,252000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliophrys infusionum,,,,,80,,,,,,80,89,1296,600,,40,246,40,,62,62,,,,,,432,,,3500,,48
Dictyocha fibula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,144,,48
Dictyocha octonaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyocha speculum,,,,,560,360,360,560,840,2040,1160,3293,2160,900,320,,246,80,120,372,930,1850,80,,,40,144,356,1068,2304,200,48
Dictyocha spore forms,,,,,160,80,80,,,,280,801,,,,200,82,,80,620,434,814,,622,160,,2016,356,445,288,80,288
Meringosphaerae mediterranea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meringosphaerae spp,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,3500,,
Meringosphaerae tenerrima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,,
Amylax triacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium fusus,,,,,,,,,,,,,,,,,,,,,124,296,,,,,,267,178,144,40,48
Ceratium horridum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinophysis acuminata,,,,,,,,,,,,89,,,,,,,40,62,62,1850,,,,,,,,144,40,
Dinophysis acuta,,,,,,,,,,,,,,,,,,,,62,,74,,,,,,,,,,
Dinophysis fortii,,,,,,,,,,,,,,,,,,,,,310,444,,,,,144,,,144,,
Dinophysis rotundata,,,,,,,,,,,,,,,,,,,,,62,1332,,,,,,,,144,80,
Dinophysis sp.,,,,,,,,,,,,,,,,,,,,,124,370,,,,,,,89,,,
Gonyaulax spp.,,,,,,,,,,,40,356,,,,,,,120,310,,,,,,,,,,,,
Gymnodinium spp.,,,,,360,280,280,480,280,120,240,801,2304,600,80,,287,200,160,186,868,1406,40,311,,40,1728,356,267,1152,160,528
Gyrodinium spp.,,,,,40,320,160,1680,400,160,1000,178,2736,1200,360,,164,40,,744,124,740,1440,,,520,,534,178,144,40,144
Katodinium glaucum,,,,,,,,,,,,,,,80,,,,40,,,1110,,,80,,,,,144,,
Katodinium spp.,,,,,80,,40,160,80,3,200,267,7000,21875,11666,120,5833,320,40,2188,21000,3478,240,7000,11667,360,20000,15556,979,3500,2692,960
Noctiluca scintillans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxyphysis oxytoxoides,,,,,,,,,,,,,,,,,,,,,62,1110,,311,,,,89,,,,
Prorocentrum gracilis,,,,,,,,,,,,,,,,,,,,434,,444,120,,,80,2160,,,,,
Prorocentrum micans,,,,,,40,,,,,,,,,,,,,,,,,,,,,144,,,,,
Prorocentrum spp.,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,
Protoperidinium conicum,,,,,,40,,,,,,,144,,,,,,,,,,,,,,,,,144,40,
Protoperidinium depressun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium spp.,,,,,,,,,,,,89,576,,,,,,,372,186,74,,,,,,,,432,,
Protoperidinium steinii,,,,,,,,,,,,,144,,,,,,,,,222,40,,,,,,89,,,
Pyrocystis lunula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,
Resting stages,,,,,40,,,,,40,,178,576,200,,,423,,40,682,,,40,,80,,288,178,89,432,40,96
Scrippsiella precarea,,,,,,,,,,,,89,144,,,,,,,186,,,,,,,,,,,40,
Scrippsiella trochoidea,,,,,,,,,,,,,,,,80,,,,,,,,311,,,,,,144,,
Unknown species,,,,,120,,200,,160,160,160,267,576,800,200,40,82,40,,992,62,296,40,,40,40,288,,267,144,,96
Unknown very small species (dino??),,,,,,2188,3500,,6364,7778,15556,7000,14000,,5833,8750,11666,28000,3500,4376,7000,17500,15910,14000,7778,,10000,7778,21000,7000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebriidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebria tripartita,,,,,80,,,240,120,280,640,979,576,,240,1200,1845,6372,80,1116,868,148,,311,80,,432,534,267,432,120,144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,
Unknown species,,,,,40,,,,960,160,,,,200,,,,,,,,,,,40,,,,,,,7000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metromonas simplex,,,,,,2188,,,,3889,7778,,,,,8750,,,,,,,,,,,,,,,,
Phyllomitus yorkeensis,,,,,,,,,,,,,,,5833,,5833,,,,,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,,,,,,,,,,,,,,10500,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telonema subtilis,,,,,,,,7778,,3889,3889,10500,,,,,29165,,,4376,1750,,,,3889,,,,7000,,,14000
Unknown species,,,,,,,,,,,,,,,17499,,5833,,,,,,,3500,,,,,,,,14000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metazoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendicularia,,,,,,,,,,,40,,,,,,,,,,124,,,,,,,,,144,80,
Copepod nauplii/ekdysis,,,,,40,,40,,,40,40,,,,80,200,123,40,160,,,,40,,40,,144,89,,,80,96
Copepodids,,,,,,,,,,,40,,,,40,40,,40,,,,,,,,,,,,,,
Crab zoea,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
Crustacean pieces,,,,,,,,40,,40,,89,144,,,40,82,,,62,62,,40,311,40,,144,89,,,160,144
Eggs,,,,,,,,,,,,89,,,,40,82,40,,310,,,,,,,,,,144,,
Fecal Pellets,,,,,40,160,200,160,40,200,200,712,576,600,640,240,287,720,1160,1178,186,,120,622,160,120,1296,2225,1246,1584,600,1632
Oikopleura ejecta (?),,,,,,,,,,,,1068,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiolaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaeocystis poucheteii,,non-motile stg,,,,,,,,,,36000,,,,,,,,,,,,,,,,,28000,,,
Phaeocystis poucheteii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889,,10500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown very small flagellated species,,,,,141750,78768,143500,287786,213194,334454,303342,339500,175000,402500,600799,455000,349980,924000,301000,137844,161000,735000,105006,392000,334454,90427,1265000,116670,553000,574000,457640,749000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown very small non-flagellated cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown cells,,,,,40,40,280,120,,120,80,89,,,40,160,,240,80,186,,222,,,40,80,144,,178,144,400,288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,many small black,,,,,Many pennates,,"Thalassiosira bloom,",,,,,,many euphausiid,,most fecal pellets,,,,,,,"Wow, many very small (2-5 µm)",,,,,
,,,,,circles=plastic,,,,,may mean,,good year for grazers,,,,,,fecal pellets,,were those of,,,,,,,flagellated cells,,,,,
,,,,,spheres??,,,,,strong wind mixing,,,,,,,,,,euphausiids,,,,,,,,,,,,
,,,,,,,,,,event stirs cells off,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sediment,,,,,,,,,,,,,,,,,,,,,,
