eventID,eventDate,minimumDepthInMeters,maximumDepthInMeters,decimalLongitude,decimalLatitude
Hakai_phyto_QU39_2016-02-23_0m,2016-02-23T19:04:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-03-22_0m,2016-03-22T16:37:08Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-03-29_0m,2016-03-29T18:44:50Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-04-08_0m,2016-04-08T16:06:59Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-04-14_0m,2016-04-14T16:09:58Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-04-28_0m,2016-04-28T16:27:35Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-05-09_0m,2016-05-09T15:35:45Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-05-19_0m,2016-05-19T14:45:56Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-05-30_0m,2016-05-30T16:07:04Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-06-30_0m,2016-07-01T03:35:17Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-07-11_0m,2016-07-11T14:44:29Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-08-01_0m,2016-08-01T15:44:32Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-08-11_0m,2016-08-11T15:47:11Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-08-22_0m,2016-08-22T15:22:51Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-09-01_0m,2016-09-01T15:01:30Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-09-11_0m,2016-09-11T16:03:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-10-12_0m,2016-10-12T17:23:22Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-11-09_0m,2016-11-09T18:27:42Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-11-15_0m,2016-11-15T18:31:26Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-11-26_0m,2016-11-26T19:00:17Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-12-03_0m,2016-12-03T18:25:18Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2016-12-15_0m,2016-12-15T19:43:59Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-01-08_0m,2017-01-08T19:11:49Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-01-15_0m,2017-01-15T19:20:15Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-01-26_0m,2017-01-26T17:46:04Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-02-17_0m,2017-02-17T17:52:21Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-02-25_0m,2017-02-25T17:38:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-03-15_0m,2017-03-15T16:08:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-03-30_0m,2017-03-30T15:52:00Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-04-07_0m,2017-04-07T15:16:43Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-04-11_0m,2017-04-11T15:31:54Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-04-20_0m,2017-04-20T15:18:43Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-04-24_0m,2017-04-24T15:19:36Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-05-02_0m,2017-05-02T15:12:51Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-05-17_0m,2017-05-17T15:56:11Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-05-29_0m,2017-05-29T14:43:28Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-06-05_0m,2017-06-05T14:55:04Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-06-12_0m,2017-06-12T15:05:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-06-19_0m,2017-06-19T14:45:21Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-06-29_0m,2017-06-29T14:33:34Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-07-07_0m,2017-07-07T14:15:44Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-07-11_0m,2017-07-11T15:15:50Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-07-17_0m,2017-07-17T15:27:12Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-07-24_0m,2017-07-24T16:15:54Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-08-04_0m,2017-08-04T15:23:26Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-08-08_0m,2017-08-08T16:27:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-08-15_0m,2017-08-15T15:27:44Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-08-21_0m,2017-08-21T17:09:34Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-08-29_0m,2017-08-29T16:15:53Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-09-05_0m,2017-09-05T17:02:12Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-09-12_0m,2017-09-12T16:29:24Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-09-18_0m,2017-09-18T17:16:57Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-09-26_0m,2017-09-26T17:02:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-10-03_0m,2017-10-03T17:06:21Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-10-11_0m,2017-10-11T17:04:19Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-10-20_0m,2017-10-20T16:51:36Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-10-24_0m,2017-10-24T17:02:50Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-10-31_0m,2017-10-31T18:04:32Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-11-08_0m,2017-11-08T18:05:47Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-11-16_0m,2017-11-16T18:01:19Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-11-20_0m,2017-11-20T17:52:57Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-11-27_0m,2017-11-27T18:00:40Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-12-06_0m,2017-12-06T18:26:20Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2017-12-11_0m,2017-12-11T19:54:56Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-01-03_0m,2018-01-03T19:07:22Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-01-09_0m,2018-01-09T20:14:22Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-01-22_0m,2018-01-22T18:29:51Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-01-31_0m,2018-01-31T18:00:19Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-02-06_0m,2018-02-06T18:21:49Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-02-13_0m,2018-02-13T19:18:31Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-02-19_0m,2018-02-19T19:09:43Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-02-27_0m,2018-02-27T18:15:14Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-03-06_0m,2018-03-06T18:15:10Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-03-13_0m,2018-03-13T17:34:54Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-03-20_0m,2018-03-20T16:57:41Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-03-27_0m,2018-03-27T17:16:10Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-04-12_0m,2018-04-12T17:31:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-04-17_0m,2018-04-17T16:56:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-04-24_0m,2018-04-24T16:50:44Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-05-02_0m,2018-05-02T17:16:53Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-05-08_0m,2018-05-08T16:03:14Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-05-15_0m,2018-05-15T16:31:10Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-05-22_0m,2018-05-22T14:41:31Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-05-29_0m,2018-05-29T18:05:48Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-06-05_0m,2018-06-05T15:17:08Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-06-11_0m,2018-06-11T16:32:01Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-06-18_0m,2018-06-18T17:00:11Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-06-26_0m,2018-06-26T15:50:02Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-07-11_0m,2018-07-11T15:53:33Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-07-16_0m,2018-07-16T15:01:25Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-07-23_0m,2018-07-23T14:55:41Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-07-31_0m,2018-07-31T14:22:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-08-09_0m,2018-08-09T15:05:08Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-08-14_0m,2018-08-14T17:01:40Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-08-21_0m,2018-08-21T16:17:31Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-08-29_0m,2018-08-29T16:47:55Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-09-04_0m,2018-09-04T16:18:08Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-09-13_0m,2018-09-13T15:38:08Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-09-18_0m,2018-09-18T15:21:20Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-09-25_0m,2018-09-25T16:40:32Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-10-04_0m,2018-10-04T16:20:44Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-10-09_0m,2018-10-09T17:46:38Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-10-16_0m,2018-10-16T16:40:03Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-10-24_0m,2018-10-24T16:43:05Z,0,0,-125.0992,50.0307000000001
Hakai_phyto_QU39_2018-10-30_0m,2018-10-30T16:08:32Z,0,0,-125.0992,50.0307000000001
