occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2016-03-22_0m_2,Hakai_phyto_QU39_2016-03-22_0m_2_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,200,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_3,Hakai_phyto_QU39_2016-03-22_0m_3_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,680,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_4,Hakai_phyto_QU39_2016-03-22_0m_4_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,80,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_5,Hakai_phyto_QU39_2016-03-22_0m_5_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,640,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_6,Hakai_phyto_QU39_2016-03-22_0m_6_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_7,Hakai_phyto_QU39_2016-03-22_0m_7_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,800,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_8,Hakai_phyto_QU39_2016-03-22_0m_8_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_9,Hakai_phyto_QU39_2016-03-22_0m_9_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,200,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_10,Hakai_phyto_QU39_2016-03-22_0m_10_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_11,Hakai_phyto_QU39_2016-03-22_0m_11_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
