species,,,,QPHY1452,QPHY1453,QPHY1457,QPHY1458,QPHY1459,QPHY1460,QPHY1461,QPHY1463,QPHY1464,QPHY1465,QPHY1467,QPHY1468,QPHY1469,QPHY1470,QPHY1472,QPHY1473,QPHY1474,QPHY1476,QPHY1477,QPHY1478,QPHY1479,QPHY1481,QPHY1482,QPHY1484,QPHY1486,QPHY1488,QPHY1487,QPHY1489,QPHY1490,QPHY1491,QPHY1492,QPHY1493
Eucampia zodiacus,,,,,,,,,,,5994,,,9768,2220,11664,4752,890,16483,,,107744,3026,,445,,24200,20400,400,162,1728,1110,1152,2400,8397
Fragilariopsis spp.,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
Grammatophora spp.,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia delicatula,,,,,,,,,,,,,,111,,,,,,,1110,3421,801,,1958,,21000,8769,1040,,576,777,,,3421
Guinardia delicatula auxospore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,,,,,999,2997,1728,3744,68672,120000,3792,2664,8086,623,,89,,1200,11211,11433,594,1440,,,400,
Licmophora spp.,,,,120,,40,,,,,,,,222,,,,,,,,,,,,,200,,40,,,,,,
Melosira sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,
Navicula sp.,,,,,,,,,,,111,,,,111,,,,,,,,,,,,200,111,,,,,288,,
Odontella longicruris,,,,,,,,,,,,,,666,111,1008,2016,3293,9952,,444,,,,,,,,,,,,,,
Paralia sulcata,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurosigma spp.,,,,,,,,,,,222,,,666,222,144,,,,,,,,,,,800,,,,,,,,
Pseudo-nitzschia delicatissima,,,,,80,40,,240,200,1628,2886,80,160,222,555,3456,1440,2136,11818,96,1332,1555,89,,356,48,2000,2109,200,108,1152,,,,1244
Pseudo-nitzschia multiseries,,,,40,40,,,40,200,6956,29800,400,40,3996,4440,12960,5616,4094,36076,96,3108,3732,1424,80,801,48,14400,3996,320,216,432,1776,10800,3800,1244
Pseudo-nitzschia seriata,,,,,,,,,,,333,,,6660,7548,2880,19872,40430,169312,5184,6105,26435,890,,,,600,22752,240,432,4176,4995,8208,5400,34832
Rhizosolenia setigera,,,,,,,,,,,,,,1110,,,,89,933,624,4218,87616,59200,360,4539,528,2600,1776,200,756,9936,6993,23000,24000,56913
S. marinoi (large cells),,,,,,,,,,4292,16128,,,1221,,7344,10368,890,3732,,,138000,712,,,,1400,,,108,1728,5772,6912,37320,38875
S. marinoi (small cells),,,,,,200,120,200,360,11988,64066,840,80,222,1110,864,2016,1780,23325,,4995,24569,4272,,4094,240,15800,922000,7006,16848,32966,3996,1728,24000,10885
S. marinoi auxospores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanopyxis nipponica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,,,,,,444,,,,,,,,,,,,,,,,,,,,622
Thalassionema nitzschioides,,,,40,,,,,200,,666,160,,6105,5772,2592,144,267,15239,1344,2220,12440,356,,890,144,2200,3646,,,432,222,288,800,2488
Thalassiosira anguste-lineata,,,,,,,,,,,,,,,,,,267,,,,1244,,,,,,,,,,,,,
Thalassiosira nordenskioldii,,,,,,,,,,222,2997,,,22608,46339,60976,8208,,,,,,,,,,2200,,,,,,,,2799
Thalassiosira pacifica,,,,,,,,,,518,3552,,,30400,24000,63936,2448,,1866,,,,,,,,,,,,,,,,
Thalassiosira rotula,,,,,,,,,,5032,12876,80,,,,,,,,,,,,,,,18400,5772,80,,1152,222,,2200,4665
Thalassiosira spp.,,,,40,80,120,40,120,2720,3552,9657,2000,160,30960,32344,50071,12816,445,3421,192,1110,4976,623,40,801,192,9800,3108,400,1242,3888,3996,2448,4600,9019
Thalassiosira sp. Auxospore,,,,,,,,,,,,,,111,111,720,,,,,,,,,,,,,,,,,,,
Unidentified centric forms,,,,320,80,120,120,160,600,,,160,200,,,720,,89,,,111,311,,40,178,,11400,,40,162,576,,,200,
Unidentified very small centric forms,,,,,1944,,2917,,1750,11668,75842,3182,,23328,28826,20419,23336,9332,59500,6364,,4375,7778,9722,,,22273,,3889,13125,17500,15000,52500,11667,4375
Unidentified pennate forms,,,,1400,520,120,280,400,280,1036,4773,320,440,5217,5550,7920,5904,890,21459,192,4440,13373,1246,280,1335,,3400,1554,560,108,1008,2109,2304,22000,123728
Unidentified very small pennate forms,,,,1750,1944,,,,1750,5834,5834,,,3888,6177,2917,2917,11665,17500,,,39375,27223,,,,3182,18230,7778,,8750,,35000,,
Unknown forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Cells/L,,,,4350,9057,760,3837,2520,12540,82627,393153,8822,1280,282140,236490,546509,207409,200548,703836,17932,132070,813448,141967,10522,93112,1776,247837,1088730,36226,48442,213484,246156,329279,492194,715289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorophyta-Prasinophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterosperma spp.,,,,,,,,1944,1750,,,,5833,1944,,,2917,2333,,,,8750,,,43750,21000,6364,,160,4375,43750,,17500,3889,
Pterosperma spp. resting stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375
Pyramimonas grossii,,,,,3889,17500,,1944,1750,11668,8751,,11668,,2059,5834,,,,,70000,4375,,,17500,21000,15910,,3889,61250,8750,,35000,,
Pyramimonas orientalis,,,,3500,3889,17500,17502,9720,7000,2917,11668,6364,2917,3888,4118,5834,,,3500,,315000,8750,3889,87500,87500,63000,12728,3646,3889,105000,35000,20000,35000,,
